dx,severity,issbr
S1264XA,2,Head/Neck
S12650A,2,Head/Neck
S12651A,2,Head/Neck
S12690A,2,Head/Neck
S12691A,2,Head/Neck
S128XXA,2,Head/Neck
S129XXA,2,Head/Neck
S130XXA,2,Head/Neck
S13100A,2,Head/Neck
S13101A,2,Head/Neck
S13110A,2,Head/Neck
S13111A,2,Head/Neck
S13120A,2,Head/Neck
S13121A,2,Head/Neck
S13130A,2,Head/Neck
S13131A,2,Head/Neck
S13140A,2,Head/Neck
S13141A,2,Head/Neck
S13150A,2,Head/Neck
S13151A,2,Head/Neck
S13160A,2,Head/Neck
S13161A,2,Head/Neck
S13170A,2,Head/Neck
S13171A,2,Head/Neck
S13180A,2,Head/Neck
S13181A,2,Head/Neck
S1320XA,2,Head/Neck
S1329XA,2,Head/Neck
S134XXA,1,Head/Neck
S135XXA,1,Head/Neck
S138XXA,1,Head/Neck
S139XXA,1,Chest
S140XXA,4,Head/Neck
S14101A,3,Head/Neck
S14102A,3,Head/Neck
S14103A,3,Head/Neck
S14104A,3,Head/Neck
S14105A,3,Head/Neck
S14106A,3,Head/Neck
S14107A,3,Head/Neck
S14108A,3,Head/Neck
S14109A,3,Abdomen
S14111A,6,Head/Neck
S14112A,6,Head/Neck
S14113A,6,Head/Neck
S14114A,6,Head/Neck
S14115A,5,Head/Neck
S14116A,5,Head/Neck
S14117A,5,Head/Neck
S14118A,5,Head/Neck
S14119A,3,Abdomen
S14121A,4,Head/Neck
S14122A,4,Head/Neck
S14123A,4,Head/Neck
S14124A,4,Head/Neck
S14125A,4,Head/Neck
S14126A,4,Head/Neck
S14127A,4,Head/Neck
S14128A,4,Head/Neck
S14129A,3,Abdomen
S14131A,4,Head/Neck
S14132A,4,Head/Neck
S14133A,4,Head/Neck
S14134A,4,Head/Neck
S14135A,4,Head/Neck
S14136A,4,Head/Neck
S14137A,4,Head/Neck
S14138A,4,Head/Neck
S14139A,3,Abdomen
S14141A,4,Head/Neck
S14142A,4,Head/Neck
S14143A,4,Head/Neck
S14144A,4,Head/Neck
S14145A,4,Head/Neck
S14146A,4,Head/Neck
S14147A,4,Head/Neck
S14148A,4,Head/Neck
S14149A,3,Abdomen
S14151A,4,Head/Neck
S14152A,4,Head/Neck
S14153A,4,Head/Neck
S14154A,4,Head/Neck
S14155A,4,Head/Neck
S14156A,4,Head/Neck
S14157A,4,Head/Neck
S14158A,4,Head/Neck
S14159A,3,Abdomen
S142XXA,2,Head/Neck
S143XXA,2,Head/Neck
S144XXA,2,Head/Neck
S145XXA,2,Head/Neck
S148XXA,2,Head/Neck
S149XXA,1,Head/Neck
S15001A,2,Head/Neck
S15002A,2,Head/Neck
S15009A,3,Head/Neck
S15011A,2,Head/Neck
S15012A,2,Head/Neck
S15019A,2,Head/Neck
S15021A,2,Head/Neck
S15022A,2,Head/Neck
S15029A,2,Head/Neck
S15091A,2,Head/Neck
