"dx","mechmaj","mechmin","intent"
"Y351",15,NA,4
"Y352",12,NA,4
"Y353",13,NA,4
"Y354",0,NA,4
"Y355",15,NA,4
"Y356",16,NA,4
"Y357",17,NA,4
"Y360",15,NA,4
"Y361",9,NA,4
"Y362",15,NA,4
"Y363",3,NA,4
"Y364",15,NA,4
"Y365",15,NA,4
"Y366",15,NA,4
"Y367",15,NA,4
"Y368",15,NA,4
"Y369",17,NA,4
"Y40",18,1,0
"Y41",18,1,0
"Y42",18,1,0
"Y43",18,1,0
"Y44",18,1,0
"Y45",18,1,0
"Y46",18,1,0
"Y47",18,1,0
"Y48",18,1,0
"Y49",18,1,0
"Y50",18,1,0
"Y51",18,1,0
"Y52",18,1,0
"Y53",18,1,0
"Y54",18,1,0
"Y55",18,1,0
"Y56",18,1,0
"Y57",18,1,0
"Y58",18,1,0
"Y59",18,1,0
"Y60",18,0,0
"Y61",18,0,0
"Y62",18,0,0
"Y63",18,0,0
"Y64",18,0,0
"Y65",18,0,0
"Y66",18,0,0
"Y67",18,0,0
"Y68",18,0,0
"Y69",18,0,0
"Y70",18,0,0
"Y71",18,0,0
"Y72",18,0,0
"Y73",18,0,0
"Y74",18,0,0
"Y75",18,0,0
"Y76",18,0,0
"Y77",18,0,0
"Y78",18,0,0
"Y79",18,0,0
"Y80",18,0,0
"Y81",18,0,0
"Y82",18,0,0
"Y83",18,0,0
"Y84",18,0,0
"Y85",15,NA,0
"Y86",16,NA,0
"Y870",16,NA,1
"Y871",16,NA,2
"Y872",16,NA,3
"Y880",18,1,0
"Y881",18,0,0
"Y882",18,0,0
"Y883",18,0,0
"Y890",16,NA,4
"Y891",16,NA,4
"Y899",17,NA,3
