i10,severity,issbr
S170XXA,2,1.0
S178XXA,2,1.0
S179XXA,2,1.0
S1980XA,1,2.0
S1981XA,1,2.0
S1982XA,1,2.0
S1983XA,1,2.0
S1984XA,1,2.0
S1985XA,1,2.0
S1989XA,1,2.0
S199XXA,1,2.0
S2000XA,1,6.0
S2001XA,1,6.0
S2002XA,1,6.0
S20101A,1,6.0
S20102A,1,6.0
S20109A,1,6.0
S20111A,1,6.0
S20112A,1,6.0
S20119A,1,6.0
S20121A,1,6.0
S20122A,1,6.0
S20129A,1,6.0
S20141A,1,6.0
S20142A,1,6.0
S20149A,1,6.0
S20151A,1,6.0
S20152A,1,6.0
S20159A,1,6.0
S20161A,1,6.0
S20162A,1,6.0
S20169A,1,6.0
S20171A,1,6.0
S20172A,1,6.0
S20179A,1,6.0
S2020XA,1,4.0
S20211A,1,3.0
S20212A,1,3.0
S20219A,1,3.0
S20221A,1,6.0
S20222A,1,6.0
S20229A,1,6.0
S20301A,1,6.0
S20302A,1,6.0
S20309A,1,6.0
S20311A,1,6.0
S20312A,1,6.0
S20319A,1,6.0
S20321A,1,6.0
S20322A,1,6.0
S20329A,1,6.0
S20341A,1,6.0
S20342A,1,6.0
S20349A,1,6.0
S20351A,1,6.0
S20352A,1,6.0
S20359A,1,6.0
S20361A,1,6.0
S20362A,1,6.0
S20369A,1,6.0
S20371A,1,6.0
S20372A,1,6.0
S20379A,1,6.0
S20401A,1,6.0
S20402A,1,6.0
S20409A,1,6.0
S20411A,1,6.0
S20412A,1,6.0
S20419A,1,6.0
S20421A,1,6.0
S20422A,1,6.0
S20429A,1,6.0
S20441A,1,6.0
S20442A,1,6.0
S20449A,1,6.0
S20451A,1,6.0
S20452A,1,6.0
S20459A,1,6.0
S20461A,1,6.0
S20462A,1,6.0
S20469A,1,6.0
S20471A,1,6.0
S20472A,1,6.0
S20479A,1,6.0
S2090XA,1,6.0
S2091XA,1,6.0
S2092XA,1,6.0
S2094XA,1,6.0
S2095XA,1,6.0
S2096XA,1,6.0
S2097XA,1,6.0
S21001A,1,6.0
S21002A,1,6.0
S21009A,1,6.0
S21011A,1,6.0
S21012A,1,6.0
S21019A,1,6.0
S21021A,2,6.0
S21022A,2,6.0
S21029A,2,6.0
S21031A,1,6.0
S21032A,1,6.0
S21039A,1,6.0
S21041A,2,6.0
S21042A,2,6.0
S21049A,2,6.0
S21051A,1,6.0
S21052A,1,6.0
S21059A,1,6.0
S21101A,1,3.0
S21102A,1,3.0
S21109A,1,3.0
S21111A,1,3.0
S21112A,1,3.0
S21119A,1,3.0
S21121A,1,6.0
S21122A,1,6.0
S21129A,1,6.0
S21131A,1,3.0
S21132A,1,3.0
S21139A,1,3.0
