icdbase,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S19.8,Head/Neck,0.37714101494615176,-4.2736704084674155,1498,2,Head/Neck,-0.08433528838123763,-3.9084784086638207,162,1,2,1,Head/Neck,Head/Neck
S19.9,Head/Neck,0.45960477910369946,-4.2736704084674155,1174,3,Head/Neck,0.3055047217565604,-3.9084784086638207,218,3,3,3,Head/Neck,Head/Neck
S20.0,Chest,0.23168843521584462,-4.2736704084674155,1822,1,Chest,-0.5291850998216133,-3.9084784086638207,284,1,1,1,Chest,Chest
S20.1,Chest,0.2391678299576061,-4.2736704084674155,530,2,Chest,-1.1647861082729898,-3.9084784086638207,63,1,2,1,Chest,Chest
S20.2,Chest,0.17620991201632616,-4.2736704084674155,29787,1,Chest,-0.13975027814062285,-3.9084784086638207,4730,1,1,1,Chest,Chest
S20.3,Chest,0.1945558687339974,-4.2736704084674155,9482,1,Chest,-0.26663604539872127,-3.9084784086638207,991,1,1,1,Chest,Chest
S20.4,Chest,0.10493222785677622,-4.2736704084674155,6136,1,Chest,-0.5747120176843369,-3.9084784086638207,430,1,1,1,Chest,Chest
S20.9,Chest,0.08859484248315502,-4.2736704084674155,8349,1,Chest,-1.5660559834020142,-3.9084784086638207,57,1,1,1,Chest,Chest
S21.0,Chest,0.0037643251454423615,-4.2736704084674155,474,1,Chest,0.07968543027672666,-3.9084784086638207,144,2,1,2,Chest,Chest
S21.1,Chest,0.4056606884284171,-4.2736704084674155,4696,2,Chest,0.05198666165063838,-3.9084784086638207,1205,2,2,2,Chest,Chest
S21.2,Chest,-0.04686246448569561,-4.2736704084674155,2946,1,Chest,0.1260273244956778,-3.9084784086638207,473,2,1,2,Chest,Chest
S21.3,Chest,1.2967359934924731,-4.2736704084674155,2341,5,Chest,0.11799801748127785,-3.9084784086638207,845,2,5,2,Chest,Chest
S21.4,Chest,0.8229031241897711,-4.2736704084674155,1108,4,Chest,-0.04769240532680211,-3.9084784086638207,283,2,4,2,Chest,Chest
S21.9,Chest,0.94469504785169,-4.2736704084674155,4907,4,Chest,-0.20580026536660156,-3.9084784086638207,110,1,4,1,Chest,Chest
S22.0,Chest,0.05940217052233043,-4.2736704084674155,54415,1,Chest,0.006792430019447237,-3.9084784086638207,12437,2,1,2,Chest,Chest
S22.2,Chest,0.1665899647708175,-4.2736704084674155,22673,1,Chest,0.3522446329017126,-3.9084784086638207,3689,3,1,3,Chest,Chest
S22.3,Chest,-0.02955326800307388,-4.2736704084674155,33028,1,Chest,0.16313020171706047,-3.9084784086638207,8419,3,1,3,Chest,Chest
S22.4,Chest,0.3495010600685434,-4.2736704084674155,113447,2,Chest,0.5036938603407025,-3.9084784086638207,25310,4,2,4,Chest,Chest
S22.5,Chest,0.8666408254687753,-4.2736704084674155,6578,4,Chest,0.7910879053433105,-3.9084784086638207,1029,5,4,5,Chest,Chest
S22.8,Chest,-1.171577181773093,-4.2736704084674155,1,1,NA,NA,NA,NA,NA,1,1,Chest,Chest
S22.9,Chest,2.1193274830458866,-4.2736704084674155,38,5,Chest,-0.6569596477268623,-3.9084784086638207,66,1,5,1,Chest,Chest
S23.0,Chest,1.1561630407472228,-4.2736704084674155,103,4,Chest,-2.228950891939461,-3.9084784086638207,1,1,4,1,Chest,Chest
S23.1,Chest,0.35167895719449666,-4.2736704084674155,830,2,Chest,0.825554159761939,-3.9084784086638207,28,5,2,5,Chest,Chest
S23.2,Chest,0.25825758883082256,-4.2736704084674155,166,2,Chest,-0.05415788840776846,-3.9084784086638207,36,2,2,2,Chest,Chest
S23.3,Chest,-0.12320977606665719,-4.2736704084674155,3468,1,Chest,-0.046258922165172744,-3.9084784086638207,96,2,1,2,Chest,Chest
S23.4,Chest,-0.020319790734433643,-4.2736704084674155,335,1,Chest,-1.4219222131376499,-3.9084784086638207,47,1,1,1,Chest,Chest
S23.8,Chest,-1.0451669629436735,-4.2736704084674155,69,1,Chest,-1.3022758184618681,-3.9084784086638207,2,1,1,1,Chest,Chest
S23.9,Chest,0.014662437294878903,-4.2736704084674155,92,1,Chest,-1.2336170602751566,-3.9084784086638207,10,1,1,1,Chest,Chest
S24.0,Chest,0.3140773874793975,-4.2736704084674155,372,2,Chest,0.6897419274970034,-3.9084784086638207,57,4,2,4,Chest,Chest
S24.1,Chest,0.09539417316206981,-4.2736704084674155,2966,1,Chest,0.426790192337733,-3.9084784086638207,661,3,1,3,Chest,Chest
S24.2,Chest,-0.8023928083712011,-4.2736704084674155,56,1,Chest,-1.989060998663108,-3.9084784086638207,11,1,1,1,Chest,Chest
S24.3,Chest,-1.041848544530649,-4.2736704084674155,4,1,NA,NA,NA,NA,NA,1,1,Chest,Chest
S24.4,Chest,-0.9570325524412879,-4.2736704084674155,8,1,Chest,-1.8939545953990813,-3.9084784086638207,3,1,1,1,Chest,Chest
S24.8,Chest,-4.559178795456237,-4.2736704084674155,11,1,Chest,-1.7075904758437919,-3.9084784086638207,4,1,1,1,Chest,Chest
S24.9,Chest,-1.1540540120865237,-4.2736704084674155,5,1,Chest,-1.6607549301397782,-3.9084784086638207,1,1,1,1,Chest,Chest
S25.0,Chest,1.2772111180804626,-4.2736704084674155,2695,4,Chest,0.5600115241544305,-3.9084784086638207,267,4,4,4,Chest,Chest
S25.1,Chest,0.7461352913906577,-4.2736704084674155,531,4,Chest,1.2571761259433156,-3.9084784086638207,75,5,4,5,Chest,Chest
S25.2,Chest,2.455590262235141,-4.2736704084674155,162,5,Chest,3.1612050774187384,-3.9084784086638207,16,5,5,5,Chest,Chest
S25.3,Chest,1.3607706092732423,-4.2736704084674155,249,5,Chest,0.736481281099067,-3.9084784086638207,36,4,5,4,Chest,Chest
S25.4,Chest,1.9124815796485422,-4.2736704084674155,363,5,Chest,1.200036840040609,-3.9084784086638207,32,5,5,5,Chest,Chest
S25.5,Chest,0.2280604374577135,-4.2736704084674155,328,1,Chest,1.2469321879839255,-3.9084784086638207,79,5,1,5,Chest,Chest
S25.8,Chest,0.5723412556197455,-4.2736704084674155,475,3,Chest,0.25973015642378794,-3.9084784086638207,63,3,3,3,Chest,Chest
S25.9,Chest,1.4818259533762057,-4.2736704084674155,61,5,Chest,1.1541638660532878,-3.9084784086638207,8,5,5,5,Chest,Chest
S26.0,Chest,2.2790577965503527,-4.2736704084674155,2151,5,Chest,1.6158108237118487,-3.9084784086638207,131,5,5,5,Chest,Chest
S26.1,Chest,0.9256972327009549,-4.2736704084674155,1812,4,Chest,0.22770731127814478,-3.9084784086638207,166,3,4,3,Chest,Chest
S26.2,Chest,-1.2523821456197957,-4.2736704084674155,1,1,NA,NA,NA,NA,NA,1,1,Chest,Chest
S26.9,Chest,1.3366635014509902,-4.2736704084674155,1076,5,Chest,0.9874919390207819,-3.9084784086638207,486,5,5,5,Chest,Chest
S27.0,Chest,-0.02413480466296062,-4.2736704084674155,58105,1,Chest,0.24655068619530163,-3.9084784086638207,9278,3,1,3,Chest,Chest
S27.1,Chest,1.1085267735835378,-4.2736704084674155,15340,4,Chest,0.5939693808993561,-3.9084784086638207,2316,4,4,4,Chest,Chest
S27.2,Chest,0.2176956455810878,-4.2736704084674155,19046,1,Chest,0.3885486578939576,-3.9084784086638207,4324,3,1,3,Chest,Chest
S27.3,Chest,0.14179666875790142,-4.2736704084674155,61623,1,Chest,0.022286134500288036,-3.9084784086638207,10478,2,1,2,Chest,Chest
S27.4,Chest,1.022653300981568,-4.2736704084674155,157,4,Chest,1.5273929353047353,-3.9084784086638207,26,5,4,5,Chest,Chest
S27.5,Chest,0.7254566111318476,-4.2736704084674155,80,3,Chest,2.434297162655222,-3.9084784086638207,10,5,3,5,Chest,Chest
S27.6,Chest,0.54937670954586,-4.2736704084674155,698,3,Chest,0.5423634021267074,-3.9084784086638207,134,4,3,4,Chest,Chest
S27.8,Chest,0.320800814600957,-4.2736704084674155,7135,2,Chest,0.2600104365603655,-3.9084784086638207,1254,3,2,3,Chest,Chest
