icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S62.339B,Extremities,-0.650257063,-4.202668814,20,1,Extremities,-0.45516837,-3.867465984,1,1,1,1,Extremities,Extremities
S62.340A,Extremities,-0.669263488,-4.202668814,79,1,Extremities,-0.356076302,-3.867465984,10,1,1,1,Extremities,Extremities
S62.340B,Extremities,-1.105913992,-4.202668814,16,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S62.341A,Extremities,0.335457318,-4.202668814,85,3,Extremities,-0.45390711,-3.867465984,11,1,3,1,Extremities,Extremities
S62.341B,Extremities,-0.426915031,-4.202668814,19,1,Extremities,-0.026395303,-3.867465984,1,2,1,2,Extremities,Extremities
S62.342A,Extremities,-0.496120108,-4.202668814,89,1,Extremities,-0.620719548,-3.867465984,12,1,1,1,Extremities,Extremities
S62.342B,Extremities,-0.464536347,-4.202668814,9,1,Extremities,-0.138244309,-3.867465984,1,1,1,1,Extremities,Extremities
S62.343A,Extremities,0.564497832,-4.202668814,68,3,Extremities,-0.434633344,-3.867465984,15,1,3,1,Extremities,Extremities
S62.343B,Extremities,-0.478291227,-4.202668814,13,1,Extremities,-1.63649584,-3.867465984,2,1,1,1,Extremities,Extremities
S62.344A,Extremities,0.766835029,-4.202668814,93,4,Extremities,-0.493877327,-3.867465984,20,1,4,1,Extremities,Extremities
S62.344B,Extremities,-0.62520799,-4.202668814,13,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S62.345A,Extremities,-0.276088901,-4.202668814,105,1,Extremities,-0.346826709,-3.867465984,16,1,1,1,Extremities,Extremities
S62.345B,Extremities,-0.371121823,-4.202668814,13,1,Extremities,-0.277072257,-3.867465984,1,1,1,1,Extremities,Extremities
S62.346A,Extremities,-0.213292577,-4.202668814,209,1,Extremities,-0.501886196,-3.867465984,37,1,1,1,Extremities,Extremities
S62.346B,Extremities,-0.521154902,-4.202668814,13,1,Extremities,-0.428587025,-3.867465984,2,1,1,1,Extremities,Extremities
S62.347A,Extremities,-0.549902977,-4.202668814,196,1,Extremities,-0.491593382,-3.867465984,31,1,1,1,Extremities,Extremities
S62.347B,Extremities,-0.641485136,-4.202668814,14,1,Extremities,-0.362058788,-3.867465984,5,1,1,1,Extremities,Extremities
S62.348A,Extremities,0.803715531,-4.202668814,35,4,Extremities,-0.541304313,-3.867465984,2,1,4,1,Extremities,Extremities
S62.348B,Extremities,-0.489089424,-4.202668814,2,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S62.349A,Extremities,-0.719773149,-4.202668814,11,1,Extremities,-0.499246707,-3.867465984,1,1,1,1,Extremities,Extremities
S62.349B,Extremities,-0.368668026,-4.202668814,1,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S62.350A,Extremities,-0.093168052,-4.202668814,34,1,Extremities,-0.41264848,-3.867465984,4,1,1,1,Extremities,Extremities
