icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,dxrep,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S01.93XA,Head/Neck,1.621135999533789,-4.202668814495247,61,5,Head/Neck,-0.9206329568041554,-3.8422926291197053,2,1,5,1,Head/Neck,Head/Neck
S01.94XA,Head/Neck,1.8976855799836632,-4.202668814495247,46,5,Head/Neck,-1.873801377333907,-3.8422926291197053,1,1,5,1,Head/Neck,Head/Neck
S01.95XA,Head/Neck,-0.5206173021624907,-4.202668814495247,8,1,Head/Neck,-0.1903855647856161,-3.8422926291197053,2,1,1,1,Head/Neck,Head/Neck
S02.0XXA,Head/Neck,0.10617212982988948,-4.202668814495247,34990,1,Head/Neck,0.15552175858003178,-3.8422926291197053,3063,3,1,3,Head/Neck,Head/Neck
S02.0XXB,Head/Neck,0.89331164018715,-4.202668814495247,5054,4,Head/Neck,0.8201498115032883,-3.8422926291197053,551,5,4,5,Head/Neck,Head/Neck
S02.101A,Face,0.08250441761479786,-4.202668814495247,2871,1,Face,0.638346357318299,-3.8422926291197053,26,4,1,4,Face,Face
S02.101B,Face,0.4126385030298325,-4.202668814495247,434,3,Face,4.342291632103293,-3.8422926291197053,1,5,3,5,Face,Face
S02.102A,Face,0.14116055065369967,-4.202668814495247,2839,1,Face,-0.0784043606401226,-3.8422926291197053,22,1,1,1,Face,Face
S02.102B,Face,0.3387092589330153,-4.202668814495247,419,3,NA,NA,NA,NA,NA,3,3,Face,Face
S02.109A,Face,0.34245037565203634,-4.202668814495247,4684,3,Face,1.2752027119035725,-3.8422926291197053,54,5,3,5,Face,Face
S02.109B,Face,0.6605984662423969,-4.202668814495247,878,3,Face,0.5413673692396702,-3.8422926291197053,2,4,3,4,Face,Face
S02.10XA,Face,0.31069020101885153,-4.202668814495247,331,2,Face,0.2830264553423137,-3.8422926291197053,256,3,2,3,Face,Face
S02.10XB,Face,1.5763564570444069,-4.202668814495247,64,5,Face,1.3020123161599326,-3.8422926291197053,22,5,5,5,Face,Face
S02.110A,Face,0.19325805070200414,-4.202668814495247,191,2,Face,0.1937670559357557,-3.8422926291197053,23,3,2,3,Face,Face
S02.110B,Face,1.977221761923709,-4.202668814495247,13,5,Face,-1.4963835410903583,-3.8422926291197053,1,1,5,1,Face,Face
S02.111A,Face,-1.1828523355293192,-4.202668814495247,51,1,Face,-0.7940793835135568,-3.8422926291197053,19,1,1,1,Face,Face
S02.111B,Face,-7.499178530701932,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Face,Face
