icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S86.019A,Extremities,-0.598977107892054,-4.202668814495247,11,1,Extremities,1.5139671075417467,-3.867465984199183,9,5,1,5,Extremities,Extremities
S86.021A,Extremities,-0.3856428467286531,-4.202668814495247,134,1,Extremities,0.32816856722811094,-3.867465984199183,30,3,1,3,Extremities,Extremities
S86.022A,Extremities,-0.6264631568404299,-4.202668814495247,147,1,Extremities,-0.6388388178816827,-3.867465984199183,29,1,1,1,Extremities,Extremities
S86.029A,Extremities,-0.5092320044889784,-4.202668814495247,38,1,Extremities,-0.2643108615096566,-3.867465984199183,2,1,1,1,Extremities,Extremities
S86.091A,Extremities,-0.6542941124798405,-4.202668814495247,22,1,Extremities,-0.40914402474964123,-3.867465984199183,13,1,1,1,Extremities,Extremities
S86.092A,Extremities,1.7219416165402317,-4.202668814495247,17,5,Extremities,-0.4328010456827879,-3.867465984199183,8,1,5,1,Extremities,Extremities
S86.099A,Extremities,-0.5752910205625399,-4.202668814495247,2,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.101A,Extremities,-1.2316733859651556,-4.202668814495247,26,1,Extremities,-0.5828851875635344,-3.867465984199183,1,1,1,1,Extremities,Extremities
S86.102A,Extremities,-0.8686802522776469,-4.202668814495247,27,1,Extremities,-0.5753417100273736,-3.867465984199183,2,1,1,1,Extremities,Extremities
S86.109A,Extremities,-0.5409264940679614,-4.202668814495247,4,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.111A,Extremities,-0.6842320763888556,-4.202668814495247,79,1,Extremities,-0.5375594178395113,-3.867465984199183,20,1,1,1,Extremities,Extremities
S86.112A,Extremities,-0.691841071708358,-4.202668814495247,81,1,Extremities,-0.473052838250088,-3.867465984199183,21,1,1,1,Extremities,Extremities
S86.119A,Extremities,-0.5367120920009197,-4.202668814495247,23,1,Extremities,-0.5092924982638506,-3.867465984199183,3,1,1,1,Extremities,Extremities
S86.121A,Extremities,-0.5801296595533038,-4.202668814495247,182,1,Extremities,-0.44951865378881484,-3.867465984199183,20,1,1,1,Extremities,Extremities
S86.122A,Extremities,-0.33965424383293713,-4.202668814495247,191,1,Extremities,-0.3924077614907521,-3.867465984199183,21,1,1,1,Extremities,Extremities
S86.129A,Extremities,0.18997431114619243,-4.202668814495247,56,2,Extremities,-0.3579704154935039,-3.867465984199183,1,1,2,1,Extremities,Extremities
S86.191A,Extremities,-0.30489749985012493,-4.202668814495247,38,1,Extremities,-0.5262097023687676,-3.867465984199183,8,1,1,1,Extremities,Extremities
S86.192A,Extremities,0.5095636042806712,-4.202668814495247,43,3,Extremities,-0.5149491530057541,-3.867465984199183,8,1,3,1,Extremities,Extremities
S86.199A,Extremities,-2.4487652586458135,-4.202668814495247,8,1,Extremities,-0.5582874250388283,-3.867465984199183,1,1,1,1,Extremities,Extremities
S86.201A,Extremities,1.8280707636418045,-4.202668814495247,10,5,Extremities,-0.40593642747349584,-3.867465984199183,1,1,5,1,Extremities,Extremities
S86.202A,Extremities,1.971336008337876,-4.202668814495247,7,5,NA,NA,NA,NA,NA,5,5,Extremities,Extremities
S86.209A,Extremities,-0.6814239529434627,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.211A,Extremities,-0.7930302473444898,-4.202668814495247,46,1,Extremities,-0.4248159820060184,-3.867465984199183,8,1,1,1,Extremities,Extremities
S86.212A,Extremities,-0.530597684039772,-4.202668814495247,33,1,Extremities,-0.47666398131039905,-3.867465984199183,4,1,1,1,Extremities,Extremities
S86.219A,Extremities,-0.35910389469841275,-4.202668814495247,2,1,Extremities,-0.0748080921235159,-3.867465984199183,1,1,1,1,Extremities,Extremities
S86.221A,Extremities,-0.43579775482421496,-4.202668814495247,160,1,Extremities,-0.3952041171615366,-3.867465984199183,17,1,1,1,Extremities,Extremities
S86.222A,Extremities,-0.7641407440433438,-4.202668814495247,167,1,Extremities,-0.4747635657011122,-3.867465984199183,25,1,1,1,Extremities,Extremities
S86.229A,Extremities,-0.5513899568581652,-4.202668814495247,15,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.291A,Extremities,0.22701185516110625,-4.202668814495247,47,2,NA,NA,NA,NA,NA,2,2,Extremities,Extremities
S86.292A,Extremities,0.2383959089058475,-4.202668814495247,39,2,Extremities,-0.3779859895297023,-3.867465984199183,7,1,2,1,Extremities,Extremities
S86.299A,Extremities,-0.2874400496552257,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.301A,Extremities,-0.8150087329093596,-4.202668814495247,6,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.302A,Extremities,-0.40741164056805673,-4.202668814495247,2,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.309A,Extremities,3.9877800126406817,-4.202668814495247,2,5,NA,NA,NA,NA,NA,5,5,Extremities,Extremities
S86.311A,Extremities,0.8542938906919003,-4.202668814495247,22,4,Extremities,-0.4794617594486161,-3.867465984199183,8,1,4,1,Extremities,Extremities
S86.312A,Extremities,-0.38408356387087067,-4.202668814495247,10,1,Extremities,-0.4832949152365971,-3.867465984199183,9,1,1,1,Extremities,Extremities
S86.319A,Extremities,-0.518949255759001,-4.202668814495247,1,1,Extremities,-0.4394596168968828,-3.867465984199183,1,1,1,1,Extremities,Extremities
S86.321A,Extremities,-0.036612174445800165,-4.202668814495247,85,1,Extremities,-0.571202912951577,-3.867465984199183,15,1,1,1,Extremities,Extremities
S86.322A,Extremities,0.27929064704119755,-4.202668814495247,48,2,Extremities,-0.3686310248892777,-3.867465984199183,8,1,2,1,Extremities,Extremities
S86.329A,Extremities,-0.5547294099290119,-4.202668814495247,16,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.391A,Extremities,-0.44970774526602497,-4.202668814495247,15,1,Extremities,-0.19191131581906895,-3.867465984199183,3,1,1,1,Extremities,Extremities
S86.392A,Extremities,-0.4451369193137473,-4.202668814495247,14,1,Extremities,-0.2703239948652238,-3.867465984199183,3,1,1,1,Extremities,Extremities
S86.399A,Extremities,-0.4798380538082604,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.801A,Extremities,-0.596411717780677,-4.202668814495247,16,1,Extremities,-0.38896646368845406,-3.867465984199183,2,1,1,1,Extremities,Extremities
S86.802A,Extremities,-0.9828360644179972,-4.202668814495247,16,1,Extremities,-0.5227680690601556,-3.867465984199183,8,1,1,1,Extremities,Extremities
S86.809A,Extremities,-0.6428003881413038,-4.202668814495247,1,1,Extremities,-0.5582874184214197,-3.867465984199183,1,1,1,1,Extremities,Extremities
S86.811A,Extremities,-0.17029882212329203,-4.202668814495247,198,1,Extremities,-0.5323766947485263,-3.867465984199183,67,1,1,1,Extremities,Extremities
S86.812A,Extremities,-0.6109853390665659,-4.202668814495247,229,1,Extremities,-0.48897060959874483,-3.867465984199183,67,1,1,1,Extremities,Extremities
S86.819A,Extremities,-0.9824663782756167,-4.202668814495247,37,1,Extremities,-0.5513322577322969,-3.867465984199183,3,1,1,1,Extremities,Extremities
S86.821A,Extremities,-0.40818073880134254,-4.202668814495247,250,1,Extremities,-0.5591290648712467,-3.867465984199183,30,1,1,1,Extremities,Extremities
S86.822A,Extremities,-0.23263259320437166,-4.202668814495247,223,1,Extremities,-0.5085220924024657,-3.867465984199183,32,1,1,1,Extremities,Extremities
S86.829A,Extremities,-0.9463955614305212,-4.202668814495247,9,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.891A,Extremities,-0.4470938001396596,-4.202668814495247,81,1,Extremities,-0.775700692639075,-3.867465984199183,14,1,1,1,Extremities,Extremities
S86.892A,Extremities,-0.9473052791335419,-4.202668814495247,76,1,Extremities,-0.5282720010733565,-3.867465984199183,17,1,1,1,Extremities,Extremities
S86.899A,Extremities,-0.20258248287298777,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.901A,Extremities,0.5933731738329199,-4.202668814495247,122,3,Extremities,-0.4080007092347493,-3.867465984199183,5,1,3,1,Extremities,Extremities
S86.902A,Extremities,0.20197930560954264,-4.202668814495247,112,2,Extremities,-0.4705011706056233,-3.867465984199183,5,1,2,1,Extremities,Extremities
S86.909A,Extremities,-1.1263143925701138,-4.202668814495247,90,1,Extremities,-0.4827049101269454,-3.867465984199183,1,1,1,1,Extremities,Extremities
S86.911A,Extremities,-0.13762068448179238,-4.202668814495247,57,1,Extremities,-0.5284115029829224,-3.867465984199183,24,1,1,1,Extremities,Extremities
S86.912A,Extremities,-0.5705456344637468,-4.202668814495247,82,1,Extremities,-0.5066452976243133,-3.867465984199183,23,1,1,1,Extremities,Extremities
S86.919A,Extremities,-0.014497904518036868,-4.202668814495247,187,1,Extremities,-0.5582885313783905,-3.867465984199183,2,1,1,1,Extremities,Extremities
S86.921A,Extremities,0.045588376189304794,-4.202668814495247,152,1,Extremities,-0.5076031031795571,-3.867465984199183,10,1,1,1,Extremities,Extremities
S86.922A,Extremities,-0.47207206049376926,-4.202668814495247,154,1,Extremities,-0.42007788368481963,-3.867465984199183,11,1,1,1,Extremities,Extremities
S86.929A,Extremities,-0.23892961698415713,-4.202668814495247,227,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.991A,Extremities,-1.249134650035519,-4.202668814495247,41,1,Extremities,-0.37395639677990894,-3.867465984199183,2,1,1,1,Extremities,Extremities
S86.992A,Extremities,-0.6651313630810384,-4.202668814495247,38,1,Extremities,-0.43667375783786383,-3.867465984199183,1,1,1,1,Extremities,Extremities
S86.999A,Extremities,-0.7941563428095043,-4.202668814495247,3,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S87.01XA,Extremities,-1.1552997762102217,-4.202668814495247,18,1,Extremities,-0.4868564639593435,-3.867465984199183,10,1,1,1,Extremities,Extremities
S87.02XA,Extremities,0.7915915585900712,-4.202668814495247,31,4,Extremities,-0.45293461269750895,-3.867465984199183,11,1,4,1,Extremities,Extremities
S87.80XA,Extremities,1.2717881855547695,-4.202668814495247,32,5,Extremities,-0.41571020218717836,-3.867465984199183,3,1,5,1,Extremities,Extremities
